Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Direction,FloorCount,WalkScore,SchoolNearby,HospitalNearby,PublicTransport,PropertyCondition,HeatingType,GarageType,RenovatedYear
Hawthorn,6,t,1940992.0,VB,hockingstuart,1/9/2018,34.1,3087,5.0,3.0,1.0,339.8,,,Port Phillip,-37.661,144.7631,Northern Metropolitan,11718,S,3.0,63.0,No,No,No,Excellent,Electric,None,2019.0
South Yarra,2,t,417896.0,S,hockingstuart,18/6/2016,31.5,3170,1.0,1.0,,2087.4,,1867.0,Yarra,-37.8774,145.159,Western Metropolitan,6867,NW,,99.0,Yes,No,No,Excellent,Gas,,1999.0
Hawthorn,5,u,1987009.0,PI,hockingstuart,1/9/2018,13.3,3021,1.0,1.0,,2477.4,520.7,1969.0,Moreland,-37.9143,145.1692,Northern Metropolitan,9603,W,,73.0,Yes,Yes,No,,Electric,Single,1995.0
Hawthorn,3,u,,SA,Biggin,4/2/2017,34.9,3002,4.0,2.0,2.0,2558.9,,,Port Phillip,-37.6234,145.0017,Southern Metropolitan,29173,N,3.0,62.0,Yes,Yes,No,Average,Gas,,2006.0
Camberwell,6,t,2766667.0,SA,hockingstuart,1/9/2018,2.1,3141,6.0,2.0,,,,1939.0,Moreland,-37.5928,145.1027,South-Eastern Metropolitan,1471,W,1.0,,Yes,No,No,,,None,
Collingwood,2,h,1267497.0,SA,Barry,7/5/2017,2.9,3129,4.0,2.0,,2508.0,,,,-37.8092,145.0386,South-Eastern Metropolitan,7908,N,2.0,69.0,No,Yes,No,Excellent,Solar,,2003.0
Hawthorn,6,h,280063.0,SP,Biggin,3/12/2016,29.2,3060,1.0,2.0,2.0,2117.0,,,Darebin,-37.8088,145.1056,Eastern Metropolitan,25192,S,,35.0,Yes,Yes,No,Poor,,Carport,1995.0
Preston,6,t,504371.0,S,Biggin,7/5/2017,8.6,3159,,4.0,1.0,307.8,,,Port Phillip,-37.7939,145.0199,Eastern Metropolitan,4347,E,2.0,43.0,Yes,,Yes,Average,Solar,,
Fitzroy,6,u,2449318.0,S,hockingstuart,7/5/2017,4.0,3037,,4.0,3.0,2298.0,285.7,1897.0,Port Phillip,-37.619,144.9151,Western Metropolitan,16408,NW,3.0,,No,Yes,Yes,Average,Solar,Double,
Collingwood,3,t,,S,Marshall,18/6/2016,9.8,3045,1.0,2.0,1.0,,,,Boroondara,-37.6672,145.1369,Eastern Metropolitan,17320,E,2.0,,Yes,Yes,,Good,Solar,,1995.0
Northcote,4,t,1523989.0,S,Nelson,4/2/2017,16.1,3169,3.0,2.0,0.0,,244.4,1940.0,Moonee Valley,-37.9012,144.919,Northern Metropolitan,20171,S,,88.0,Yes,,No,Average,Gas,None,
Malvern,6,u,,S,Marshall,3/12/2016,26.1,3133,5.0,1.0,5.0,1214.2,,,Port Phillip,-37.6961,144.8981,South-Eastern Metropolitan,18468,NW,1.0,,Yes,No,Yes,Average,,Single,
Essendon,1,t,,VB,Marshall,1/9/2018,22.6,3040,4.0,1.0,4.0,978.0,378.5,1989.0,Darebin,,145.0122,South-Eastern Metropolitan,7656,SE,,82.0,Yes,No,Yes,Excellent,,Double,1993.0
Fitzroy,5,t,1613133.0,SA,Biggin,18/6/2016,9.8,3152,4.0,2.0,0.0,998.9,301.2,,Boroondara,-37.6658,145.169,Southern Metropolitan,4812,W,2.0,56.0,Yes,Yes,No,Excellent,Electric,,
Moonee Ponds,3,t,1553692.0,VB,Biggin,4/2/2017,18.6,3138,2.0,2.0,,,,,Moreland,-37.6441,144.9211,Southern Metropolitan,13358,NE,1.0,,,No,No,Good,None,,1992.0
Coburg,2,u,1625786.0,SP,Biggin,3/12/2016,32.6,3109,3.0,2.0,5.0,916.9,217.9,1880.0,Moonee Valley,-37.624,144.9875,Western Metropolitan,2095,,,98.0,No,Yes,Yes,Excellent,None,None,1994.0
Camberwell,3,h,440285.0,PI,Barry,7/5/2017,28.9,3040,1.0,,1.0,,,,Yarra,-37.6997,144.9462,Southern Metropolitan,10817,S,3.0,77.0,Yes,,No,Poor,,Single,1994.0
Fitzroy,2,h,2767649.0,SA,Barry,4/2/2017,12.7,3198,1.0,2.0,2.0,1445.1,208.0,1864.0,Moreland,-37.8778,145.1549,Northern Metropolitan,20074,SE,,54.0,No,Yes,No,Poor,Electric,Double,
St Kilda,3,u,2461130.0,SP,Nelson,4/2/2017,,3056,3.0,2.0,4.0,,461.9,,,-37.6325,145.0384,Eastern Metropolitan,24481,N,4.0,37.0,No,No,No,,Electric,None,
Hawthorn,2,h,1457739.0,VB,Biggin,4/2/2017,25.4,3173,6.0,4.0,,2593.6,97.2,1883.0,Yarra,-37.5901,144.9098,Eastern Metropolitan,29015,E,2.0,,No,No,,,Electric,Carport,2002.0
Northcote,6,t,2451016.0,PI,hockingstuart,7/5/2017,4.1,3122,4.0,4.0,,2470.3,145.7,,Moreland,-37.6965,145.0035,Western Metropolitan,18226,W,4.0,,Yes,,No,Good,,Single,1990.0
Reservoir,4,h,1186114.0,SP,Biggin,1/9/2018,3.2,3085,1.0,1.0,4.0,1278.6,488.7,2017.0,Darebin,-37.84,144.778,Eastern Metropolitan,10354,SW,4.0,30.0,No,Yes,No,Average,None,Double,2019.0
Coburg,2,t,644295.0,PI,Barry,18/6/2016,7.6,3175,2.0,4.0,4.0,2204.8,142.6,2009.0,Boroondara,-37.8783,,South-Eastern Metropolitan,11970,NE,4.0,60.0,No,,Yes,Average,None,,1997.0
Richmond,2,h,2966826.0,SP,Biggin,1/9/2018,26.0,3062,4.0,1.0,0.0,,,,Yarra,-37.8574,145.0681,Eastern Metropolitan,28819,E,3.0,44.0,No,No,No,Good,Gas,,
Preston,1,u,1738543.0,VB,Barry,3/12/2016,8.1,3038,5.0,3.0,,213.9,583.3,,Port Phillip,-37.9432,144.9812,Southern Metropolitan,5941,S,2.0,99.0,No,Yes,Yes,,None,Double,2022.0
Richmond,2,h,1908990.0,PI,Biggin,18/6/2016,18.9,3137,3.0,2.0,2.0,2044.1,,1885.0,Darebin,-37.9459,144.8571,South-Eastern Metropolitan,11336,SW,4.0,,Yes,No,No,Good,Gas,,1995.0
Fitzroy,1,h,2795800.0,SP,hockingstuart,3/12/2016,5.1,3212,,1.0,1.0,,144.9,,,-37.8312,144.8811,Southern Metropolitan,28151,E,2.0,,Yes,No,No,Poor,,Carport,2006.0
Malvern,5,h,,VB,Nelson,7/5/2017,32.4,3197,5.0,4.0,,2414.8,219.6,1995.0,Port Phillip,-37.5808,145.1049,Southern Metropolitan,25744,NW,1.0,40.0,No,No,Yes,,Gas,None,
Richmond,6,u,2952303.0,SA,hockingstuart,1/9/2018,13.4,3192,,3.0,3.0,1867.5,501.1,,Yarra,-37.7015,144.9704,Western Metropolitan,7844,NE,1.0,47.0,No,No,No,Poor,Solar,Double,1991.0
St Kilda,1,h,2687587.0,VB,Barry,4/2/2017,32.0,3186,6.0,4.0,0.0,,236.9,,Moonee Valley,-37.7956,144.8194,Western Metropolitan,24400,SE,4.0,,Yes,No,No,,Solar,,2007.0
Northcote,4,u,,VB,Marshall,18/6/2016,33.2,3205,3.0,1.0,,,445.2,,Moonee Valley,-37.9457,144.8484,South-Eastern Metropolitan,22794,W,3.0,49.0,Yes,No,No,Excellent,,None,
Moonee Ponds,6,t,2013808.0,SA,hockingstuart,4/2/2017,2.2,3163,6.0,3.0,5.0,,,,Boroondara,-37.5541,144.9339,Eastern Metropolitan,11049,N,3.0,,No,Yes,No,Good,Solar,Single,
Malvern,1,h,1643453.0,VB,Biggin,3/12/2016,17.3,3026,1.0,4.0,4.0,2432.4,,,,-37.7677,145.0814,Northern Metropolitan,6383,N,,56.0,No,Yes,No,Poor,None,Double,2011.0
Essendon,6,u,1361288.0,SA,Nelson,4/2/2017,2.8,3200,6.0,3.0,,2333.6,478.6,,Moonee Valley,-37.5534,145.1987,Eastern Metropolitan,10632,,3.0,38.0,No,No,,Poor,,Carport,
Preston,6,u,2021503.0,SA,Biggin,4/2/2017,32.0,3182,1.0,,1.0,,,,Moreland,,144.7929,South-Eastern Metropolitan,20035,SW,3.0,,No,Yes,Yes,,Gas,,1997.0
St Kilda,6,h,375849.0,SA,Biggin,7/5/2017,19.1,3197,5.0,2.0,,269.9,329.0,,Moreland,,145.0775,Northern Metropolitan,21023,SW,4.0,,No,Yes,No,Average,None,None,2016.0
St Kilda,5,t,505493.0,SP,hockingstuart,7/5/2017,4.5,3080,4.0,3.0,,570.7,,,Moonee Valley,-37.6064,145.0086,Southern Metropolitan,7559,SE,3.0,37.0,Yes,No,,Average,Solar,,
Richmond,4,u,854111.0,PI,Nelson,1/9/2018,5.6,3180,2.0,4.0,2.0,323.9,,,,-37.7378,144.9656,Southern Metropolitan,25528,NW,1.0,85.0,Yes,No,,Average,Electric,,2022.0
Hawthorn,3,h,1402791.0,SP,Marshall,3/12/2016,14.7,3106,5.0,4.0,2.0,768.1,193.2,,Port Phillip,-37.7689,145.1832,Northern Metropolitan,9699,E,2.0,36.0,No,No,Yes,,Solar,None,
Richmond,3,t,2379382.0,SA,Biggin,7/5/2017,33.0,3187,2.0,4.0,1.0,,,,Moonee Valley,-37.6469,144.8614,Southern Metropolitan,13517,N,4.0,44.0,No,Yes,Yes,Good,,Carport,
Fitzroy,1,u,2693869.0,PI,Nelson,7/5/2017,24.9,3188,6.0,2.0,,2725.1,,1899.0,Boroondara,-37.6401,144.7885,Eastern Metropolitan,26298,NE,3.0,85.0,Yes,No,No,Good,Solar,,
Essendon,6,u,,PI,Marshall,1/9/2018,30.6,3035,2.0,1.0,1.0,2622.5,,1873.0,Port Phillip,-37.6314,145.1388,Western Metropolitan,28355,SE,3.0,,No,Yes,No,Good,Solar,Single,
Collingwood,1,t,2809244.0,SA,Biggin,18/6/2016,14.1,3084,6.0,1.0,,,,1959.0,Boroondara,-37.6458,144.7343,Eastern Metropolitan,8580,W,4.0,66.0,Yes,,Yes,Excellent,Gas,Double,
Malvern,5,t,2649940.0,PI,Nelson,1/9/2018,3.4,3154,2.0,3.0,0.0,,,,Moreland,-37.6935,145.1086,Southern Metropolitan,25269,SW,,93.0,No,Yes,Yes,Good,Gas,Single,2000.0
Richmond,5,h,1478312.0,PI,hockingstuart,4/2/2017,34.2,3168,3.0,4.0,1.0,1057.1,,,Darebin,-37.6798,144.9946,Western Metropolitan,1535,N,1.0,46.0,No,No,,,Gas,Single,
Northcote,2,h,1081635.0,SP,Biggin,4/2/2017,2.6,3027,5.0,3.0,0.0,2062.9,452.1,,Yarra,-37.6066,144.782,Eastern Metropolitan,23981,N,1.0,50.0,,Yes,No,Excellent,Solar,Carport,
Reservoir,5,u,1627397.0,PI,Biggin,7/5/2017,33.3,3015,3.0,1.0,,430.6,216.2,,Darebin,-37.6738,144.8137,Southern Metropolitan,15552,,1.0,,Yes,,No,,Gas,Double,
Preston,2,t,1717217.0,SA,Nelson,7/5/2017,14.2,3034,4.0,1.0,4.0,2413.2,,1965.0,Boroondara,-37.9095,144.7779,Eastern Metropolitan,24440,,2.0,62.0,No,Yes,Yes,Average,Gas,,2012.0
South Yarra,4,t,,S,Biggin,1/9/2018,2.3,3163,4.0,4.0,4.0,2748.0,,,Port Phillip,-37.6918,145.0592,Southern Metropolitan,24899,N,,,Yes,Yes,Yes,Excellent,Gas,,2013.0
Richmond,1,t,481414.0,S,Marshall,1/9/2018,24.7,3183,1.0,3.0,0.0,1094.6,540.9,1866.0,,-37.882,144.7737,South-Eastern Metropolitan,18033,NE,2.0,75.0,Yes,,Yes,,Electric,,
Northcote,4,u,506812.0,S,Biggin,3/12/2016,34.4,3098,1.0,4.0,,,140.1,,Boroondara,-37.9443,145.0407,Northern Metropolitan,15183,SE,1.0,99.0,Yes,No,No,Average,None,Carport,2012.0
Malvern,5,t,,SA,Barry,4/2/2017,33.9,3146,1.0,1.0,4.0,,,1999.0,Darebin,-37.8643,144.7641,Southern Metropolitan,7739,N,1.0,86.0,No,,No,Excellent,Electric,,2006.0
Northcote,4,t,2652110.0,S,Marshall,1/9/2018,7.3,3184,4.0,1.0,4.0,2087.9,,1960.0,Moreland,-37.8882,145.1011,Eastern Metropolitan,9131,S,4.0,49.0,No,No,No,Good,,,
Preston,4,u,,SP,Nelson,18/6/2016,8.0,3212,2.0,4.0,4.0,113.3,,,Boroondara,-37.9092,145.1597,Southern Metropolitan,25807,S,3.0,97.0,Yes,Yes,No,,,None,
Collingwood,4,h,2265726.0,SA,Marshall,3/12/2016,20.7,3121,6.0,3.0,,,,1866.0,Moreland,-37.864,144.9797,Southern Metropolitan,21281,NW,4.0,,No,No,No,Poor,Gas,,
Northcote,5,h,,SA,Barry,1/9/2018,23.0,3160,2.0,2.0,5.0,,83.5,2011.0,Darebin,-37.7246,145.1831,Eastern Metropolitan,20539,S,2.0,59.0,Yes,Yes,No,Good,None,Single,
Reservoir,6,u,,SA,Barry,7/5/2017,26.4,3022,,4.0,,,410.9,,Moonee Valley,-37.8894,144.8952,Eastern Metropolitan,21100,N,3.0,54.0,Yes,Yes,,,,None,2004.0
Northcote,4,t,1660808.0,PI,Biggin,1/9/2018,8.0,3118,4.0,1.0,,1941.4,544.5,,Moonee Valley,-37.8382,144.8223,Western Metropolitan,1285,NW,1.0,60.0,Yes,No,Yes,Average,None,None,
Northcote,2,u,1105754.0,PI,Biggin,7/5/2017,33.6,3062,6.0,2.0,0.0,1458.2,582.8,,Yarra,-37.6102,144.7886,Southern Metropolitan,14823,,4.0,,Yes,Yes,Yes,Poor,Solar,Carport,
Northcote,5,h,,PI,hockingstuart,7/5/2017,23.1,3069,6.0,4.0,3.0,,,1885.0,Moonee Valley,-37.5948,144.9395,South-Eastern Metropolitan,22303,E,3.0,83.0,Yes,Yes,Yes,Poor,Solar,Carport,2018.0
Moonee Ponds,4,h,1654962.0,VB,Marshall,4/2/2017,30.0,3149,6.0,2.0,2.0,,459.4,,Yarra,-37.8168,144.7654,Northern Metropolitan,19486,SW,4.0,43.0,,Yes,Yes,Good,,,2022.0
Moonee Ponds,6,u,2123204.0,SP,hockingstuart,4/2/2017,19.8,3194,1.0,4.0,0.0,,,1904.0,Darebin,-37.5904,145.1379,Southern Metropolitan,12995,SW,1.0,,,No,Yes,Average,Electric,,1995.0
Collingwood,5,u,1469309.0,SA,Barry,1/9/2018,15.7,3079,6.0,1.0,2.0,,,1876.0,Yarra,-37.7157,145.0924,Eastern Metropolitan,7117,NE,2.0,,No,Yes,Yes,Poor,,,
Richmond,3,h,,SA,Biggin,1/9/2018,34.2,3058,6.0,4.0,3.0,2393.9,271.9,1922.0,Yarra,-37.8595,144.9811,Western Metropolitan,21193,SW,3.0,,No,No,No,Good,None,Double,
Northcote,6,u,456251.0,PI,Biggin,18/6/2016,21.2,3152,4.0,2.0,0.0,,,2010.0,Yarra,-37.6483,145.0607,Southern Metropolitan,1858,SE,3.0,79.0,Yes,Yes,Yes,,,Double,
Camberwell,2,h,2881383.0,SA,Biggin,3/12/2016,30.6,3016,2.0,3.0,0.0,1743.8,,1952.0,Moreland,-37.5812,,South-Eastern Metropolitan,10816,E,3.0,,No,Yes,Yes,,,Carport,
Essendon,4,u,,SA,Nelson,3/12/2016,33.5,3038,2.0,1.0,0.0,405.8,562.9,,Yarra,-37.6863,144.8018,Eastern Metropolitan,9865,NE,2.0,38.0,Yes,Yes,Yes,Good,Gas,Double,1998.0
Camberwell,3,u,2075706.0,S,Barry,1/9/2018,24.3,3076,3.0,1.0,0.0,538.4,,1951.0,Port Phillip,-37.8695,145.0106,South-Eastern Metropolitan,11311,SW,2.0,37.0,Yes,Yes,Yes,Poor,,Carport,2005.0
Richmond,3,u,1228582.0,SA,Biggin,4/2/2017,20.1,3091,,2.0,,,95.9,1976.0,Boroondara,-37.9156,144.9387,South-Eastern Metropolitan,712,NE,3.0,36.0,Yes,Yes,No,Good,None,Carport,
Collingwood,5,h,568903.0,VB,Barry,18/6/2016,2.1,3202,5.0,4.0,5.0,,,1901.0,Darebin,-37.8582,145.0023,Northern Metropolitan,8242,NW,3.0,,No,,No,Good,Gas,Carport,
Hawthorn,3,u,1666693.0,PI,Biggin,3/12/2016,3.3,3201,4.0,4.0,,,222.7,,Moreland,-37.8146,144.7445,Northern Metropolitan,21477,S,,,No,No,No,Poor,None,None,
Hawthorn,2,h,2129314.0,SP,Marshall,1/9/2018,8.6,3166,3.0,4.0,,1344.6,,1934.0,Boroondara,-37.8165,145.0262,Southern Metropolitan,29876,W,1.0,,Yes,,,Excellent,Electric,Carport,2006.0
Brunswick,2,h,1144801.0,SP,Barry,4/2/2017,8.1,3023,3.0,1.0,,126.8,343.2,,Darebin,-37.7506,145.1018,Northern Metropolitan,8720,NE,4.0,,No,No,No,Poor,,Carport,1998.0
Camberwell,1,u,1974854.0,S,hockingstuart,4/2/2017,10.4,3165,4.0,1.0,,,,1902.0,,-37.7479,144.9731,Southern Metropolitan,3444,SE,1.0,98.0,No,Yes,No,Poor,Solar,Carport,2021.0
Richmond,2,u,1064811.0,SP,Nelson,4/2/2017,12.1,3087,2.0,2.0,3.0,1290.9,309.9,,Darebin,-37.7614,144.8787,Southern Metropolitan,29039,N,1.0,,Yes,,Yes,Excellent,,Carport,
Richmond,6,h,632811.0,SP,hockingstuart,7/5/2017,13.9,3208,5.0,4.0,1.0,,89.4,1915.0,Moonee Valley,-37.8125,144.7873,Eastern Metropolitan,8180,S,2.0,33.0,No,Yes,Yes,Poor,,None,2011.0
Coburg,3,h,751691.0,PI,Barry,4/2/2017,,3184,5.0,,2.0,,,1938.0,Darebin,-37.9073,144.8327,Eastern Metropolitan,6716,N,3.0,90.0,No,No,No,Average,Gas,None,2017.0
Fitzroy,2,t,1258314.0,PI,Biggin,1/9/2018,5.3,3043,5.0,2.0,,370.7,,2018.0,Moonee Valley,-37.7827,144.9613,Western Metropolitan,25864,,,51.0,No,No,,Average,Solar,None,2005.0
South Yarra,5,h,464304.0,VB,Barry,18/6/2016,3.4,3035,3.0,1.0,0.0,,,1942.0,Moonee Valley,-37.5557,144.8278,Northern Metropolitan,19137,SW,,,,No,Yes,Poor,Solar,None,
Malvern,1,t,2743330.0,S,Nelson,1/9/2018,24.2,3098,2.0,1.0,0.0,1135.4,501.8,,Port Phillip,-37.6885,145.089,Western Metropolitan,4239,,2.0,,Yes,Yes,No,,Solar,None,2017.0
Coburg,3,t,,SP,Barry,4/2/2017,19.7,3069,5.0,3.0,0.0,2970.8,217.6,,Darebin,-37.7741,144.7659,South-Eastern Metropolitan,14830,N,1.0,92.0,No,,No,Good,Electric,Single,
Reservoir,1,t,2202634.0,VB,Biggin,18/6/2016,16.7,3121,4.0,3.0,2.0,2592.5,,1860.0,Moonee Valley,-37.9166,,Southern Metropolitan,23079,NW,3.0,67.0,No,Yes,No,Average,Gas,None,1990.0
Moonee Ponds,3,u,2786115.0,S,hockingstuart,3/12/2016,22.9,3123,5.0,4.0,,1344.4,550.3,,Port Phillip,-37.8647,144.948,Southern Metropolitan,26078,NE,2.0,,No,Yes,Yes,Average,Gas,Double,
Moonee Ponds,5,u,1161612.0,SP,Marshall,3/12/2016,29.3,3079,1.0,1.0,2.0,2999.1,466.0,,Moreland,-37.7201,144.7694,Eastern Metropolitan,27750,SE,2.0,93.0,No,No,Yes,Good,Gas,None,2019.0
Fitzroy,1,h,,SP,hockingstuart,1/9/2018,16.1,3044,2.0,4.0,,1566.5,,,Moonee Valley,-37.7509,145.1975,South-Eastern Metropolitan,9941,N,1.0,97.0,No,,Yes,Average,Gas,Double,
Preston,4,t,451904.0,PI,Biggin,18/6/2016,,3219,,1.0,3.0,543.0,,,Yarra,-37.9423,145.1116,Southern Metropolitan,10315,SE,2.0,85.0,No,Yes,Yes,Poor,,Double,
Preston,6,u,961716.0,SA,Biggin,1/9/2018,33.5,3153,2.0,3.0,4.0,,51.2,1868.0,,-37.9155,144.8933,Southern Metropolitan,15921,N,4.0,43.0,Yes,No,Yes,Good,,,
Collingwood,6,u,2352882.0,S,Nelson,18/6/2016,29.7,3138,6.0,2.0,1.0,717.3,55.5,,Port Phillip,-37.8076,145.0425,South-Eastern Metropolitan,23046,SW,2.0,,No,Yes,No,,Electric,Single,2004.0
St Kilda,3,u,1705713.0,SP,Barry,18/6/2016,16.1,3179,4.0,1.0,0.0,1927.1,,1890.0,Moreland,-37.8937,145.0583,South-Eastern Metropolitan,14581,E,1.0,92.0,Yes,Yes,,Poor,None,Double,
Fitzroy,4,u,1949660.0,S,Barry,1/9/2018,23.3,3152,6.0,3.0,5.0,2815.4,,,Moreland,,145.0256,Southern Metropolitan,8377,N,3.0,48.0,No,No,Yes,Poor,,,
South Yarra,1,u,,VB,hockingstuart,18/6/2016,7.8,3030,3.0,,,2369.3,,,Yarra,-37.9364,144.9162,South-Eastern Metropolitan,29482,NE,,,Yes,Yes,No,,Solar,Single,1998.0
Richmond,4,t,595430.0,VB,Marshall,4/2/2017,20.5,3084,3.0,1.0,1.0,,540.5,,Yarra,-37.5604,145.1426,Northern Metropolitan,27714,NE,2.0,62.0,,No,No,Average,Gas,Double,
Preston,4,t,1078411.0,SA,Marshall,18/6/2016,34.4,3044,6.0,4.0,1.0,,403.9,,Yarra,-37.6874,145.0858,South-Eastern Metropolitan,28588,,3.0,90.0,Yes,Yes,No,Average,,Single,2014.0
South Yarra,1,t,,SP,Nelson,18/6/2016,19.1,3114,2.0,1.0,,,,,Yarra,-37.7871,,Western Metropolitan,23550,NE,3.0,73.0,No,Yes,Yes,Average,Gas,Double,1999.0
Northcote,5,t,2755365.0,PI,Biggin,1/9/2018,32.6,3066,5.0,3.0,,893.3,,,Port Phillip,-37.7342,144.7013,Western Metropolitan,25069,NW,,,Yes,Yes,Yes,Poor,Electric,None,
Camberwell,4,h,2189983.0,SP,Nelson,3/12/2016,15.4,3075,1.0,1.0,,323.2,,,,-37.786,144.8117,Southern Metropolitan,19587,SW,1.0,86.0,Yes,Yes,Yes,Excellent,Solar,Double,
Camberwell,4,t,1819186.0,S,Barry,7/5/2017,35.0,3039,4.0,2.0,0.0,1523.4,309.3,,Port Phillip,,144.9544,Southern Metropolitan,8423,NW,2.0,53.0,Yes,,Yes,Average,Solar,None,
St Kilda,5,u,,VB,Biggin,18/6/2016,21.1,3173,5.0,4.0,1.0,2139.6,,,Port Phillip,-37.8892,,Eastern Metropolitan,584,NE,4.0,73.0,Yes,,No,Excellent,Electric,Single,2000.0
Essendon,4,t,1097405.0,S,Nelson,7/5/2017,3.4,3181,3.0,1.0,,2266.0,363.4,1976.0,Boroondara,-37.902,145.0143,South-Eastern Metropolitan,22542,E,1.0,97.0,No,No,Yes,Good,Electric,None,1993.0
Richmond,4,h,1694679.0,SA,hockingstuart,18/6/2016,21.4,3040,5.0,3.0,1.0,225.6,284.0,1946.0,Boroondara,-37.7386,144.9089,Western Metropolitan,24841,SE,3.0,,,No,Yes,Poor,None,Carport,2017.0
Malvern,4,u,2541947.0,VB,Barry,1/9/2018,11.1,3216,6.0,3.0,5.0,1052.9,570.5,,,-37.9215,144.724,Eastern Metropolitan,5366,S,2.0,96.0,Yes,Yes,No,Poor,,,2000.0
Malvern,6,t,483462.0,PI,Marshall,1/9/2018,3.1,3119,6.0,4.0,,,564.3,,Port Phillip,-37.833,144.9986,Southern Metropolitan,14054,NW,3.0,63.0,,No,No,Good,,Double,
Reservoir,2,t,2398565.0,VB,Nelson,18/6/2016,29.1,3080,,1.0,3.0,357.7,,1922.0,Moreland,-37.5792,144.8754,Northern Metropolitan,13192,S,4.0,54.0,Yes,Yes,No,Average,Gas,None,
Malvern,5,t,2218921.0,SP,Barry,1/9/2018,11.1,3037,3.0,3.0,2.0,,400.8,1935.0,Moonee Valley,-37.5995,144.9687,South-Eastern Metropolitan,3614,,3.0,,,Yes,,Average,,Single,
Northcote,4,u,2900196.0,SP,Barry,1/9/2018,,3099,2.0,4.0,4.0,,117.2,1954.0,Moonee Valley,-37.6174,145.0832,Eastern Metropolitan,24761,SW,1.0,,No,Yes,Yes,Average,,,
Northcote,6,u,1632296.0,VB,Marshall,18/6/2016,11.5,3163,4.0,2.0,,1921.8,165.1,,Boroondara,-37.7471,145.1019,Northern Metropolitan,4172,SE,1.0,,Yes,No,Yes,Excellent,Electric,Single,
Camberwell,5,h,1571024.0,SA,Marshall,3/12/2016,8.4,3210,6.0,4.0,,2655.7,,1894.0,Yarra,-37.9388,145.1321,Southern Metropolitan,29404,S,4.0,73.0,No,,No,Good,Gas,,
Fitzroy,3,u,660226.0,SP,Marshall,18/6/2016,34.1,3171,4.0,,,1391.8,,1951.0,Darebin,-37.9015,145.018,Western Metropolitan,29679,SW,4.0,,No,Yes,Yes,Excellent,Electric,Double,2019.0
St Kilda,3,u,1425615.0,SP,Nelson,3/12/2016,13.9,3056,,1.0,,2252.7,146.1,,Moonee Valley,-37.5822,145.1528,Eastern Metropolitan,6424,NW,2.0,90.0,Yes,,Yes,Average,,,
Collingwood,4,t,2014694.0,PI,Marshall,1/9/2018,21.8,3065,2.0,3.0,2.0,480.7,359.3,,Port Phillip,-37.6154,145.0453,Eastern Metropolitan,1873,,2.0,35.0,,No,No,Excellent,Gas,,
Reservoir,6,u,1985594.0,VB,hockingstuart,3/12/2016,,3208,6.0,2.0,,,563.5,,,-37.7994,145.092,Southern Metropolitan,10155,,3.0,68.0,,No,Yes,Good,Solar,Single,
Preston,6,t,2527226.0,SP,Barry,1/9/2018,20.5,3029,1.0,1.0,3.0,500.2,233.3,1915.0,Moonee Valley,-37.6584,145.0427,Southern Metropolitan,26650,N,,37.0,Yes,No,Yes,,Solar,,
South Yarra,5,t,2057254.0,SA,Marshall,3/12/2016,32.2,3009,4.0,3.0,,616.7,144.1,,Moreland,-37.6082,145.1359,Western Metropolitan,5511,,4.0,72.0,Yes,No,Yes,Excellent,Solar,Double,
Fitzroy,5,u,,S,Barry,3/12/2016,24.3,3060,3.0,4.0,2.0,,,,Moonee Valley,-37.7019,144.8114,Western Metropolitan,6452,S,4.0,70.0,Yes,Yes,No,Good,Solar,Double,
Preston,6,h,,VB,Biggin,18/6/2016,15.3,3190,4.0,4.0,2.0,963.6,298.3,1898.0,Boroondara,-37.6086,145.0799,Western Metropolitan,24214,E,4.0,98.0,No,No,,Average,None,,2014.0
Fitzroy,5,h,1058524.0,PI,Biggin,3/12/2016,30.5,3035,2.0,1.0,2.0,,273.7,,Yarra,-37.8521,144.7586,Northern Metropolitan,28109,W,3.0,,Yes,,Yes,Average,,Double,
Fitzroy,6,u,381562.0,SP,Marshall,1/9/2018,8.0,3053,1.0,2.0,,,189.8,1931.0,Yarra,-37.7651,144.746,Northern Metropolitan,12808,N,1.0,88.0,No,Yes,,,Solar,Double,1995.0
Fitzroy,2,h,1302305.0,SA,Barry,18/6/2016,,3096,2.0,,0.0,,539.3,,Port Phillip,-37.7184,144.9458,Southern Metropolitan,27168,SW,4.0,,,Yes,Yes,,Gas,,1993.0
Camberwell,6,t,1959910.0,VB,Biggin,3/12/2016,33.4,3192,6.0,,,,,1950.0,Moonee Valley,-37.6975,144.8501,Eastern Metropolitan,19536,,,86.0,Yes,,Yes,Poor,Gas,Single,
Malvern,3,t,,SA,Marshall,18/6/2016,22.6,3209,5.0,3.0,,1748.7,,,Darebin,-37.5552,144.9817,Northern Metropolitan,18974,S,,,,Yes,No,Average,Electric,,
St Kilda,5,u,1645936.0,SA,Barry,7/5/2017,,3003,2.0,4.0,4.0,1888.8,57.1,1889.0,Boroondara,-37.6116,145.0389,Southern Metropolitan,28327,NE,,,Yes,Yes,Yes,Excellent,None,None,
